cve,cvss,severity
CVE-1999-0236,7.5,HIGH
CVE-1999-0071,0.0,LOW
CVE-1999-0107,0.0,LOW
CVE-1999-1199,0.0,LOW
CVE-1999-0448,0.0,LOW
CVE-1999-0678,0.0,LOW
CVE-1999-1412,0.0,LOW
CVE-1999-1237,0.0,LOW
CVE-2000-1206,0.0,LOW
CVE-1999-0926,0.0,LOW
CVE-1999-1053,0.0,LOW
CVE-1999-0289,0.0,LOW
CVE-1999-1293,0.0,LOW
CVE-2000-1205,0.0,LOW
CVE-2000-0505,0.0,LOW
CVE-2000-0628,0.0,LOW
CVE-2000-1204,0.0,LOW
CVE-2000-0759,0.0,LOW
CVE-2000-0760,0.0,LOW
CVE-2000-0791,0.0,LOW
CVE-2000-0868,0.0,LOW
CVE-2000-0869,0.0,LOW
CVE-2000-0883,0.0,LOW
CVE-2000-1016,0.0,LOW
CVE-2000-0913,0.0,LOW
CVE-2000-1168,0.0,LOW
CVE-2001-1385,0.0,LOW
CVE-2001-0042,0.0,LOW
CVE-2001-0108,0.0,LOW
CVE-2001-0131,0.0,LOW
CVE-2001-0925,0.0,LOW
CVE-2001-1342,0.0,LOW
CVE-2001-0590,0.0,LOW
CVE-2001-1072,0.0,LOW
CVE-2001-1013,0.0,LOW
CVE-2001-0731,0.0,LOW
CVE-2001-0766,9.8,CRITICAL
CVE-2001-0729,0.0,LOW
CVE-2001-0730,0.0,LOW
CVE-2001-1449,0.0,LOW
CVE-2001-0829,0.0,LOW
CVE-2001-1216,0.0,LOW
CVE-2001-1217,0.0,LOW
CVE-2001-1510,0.0,LOW
CVE-2001-1534,0.0,LOW
CVE-2001-1556,0.0,LOW
CVE-2002-0082,0.0,LOW
CVE-2002-0061,0.0,LOW
CVE-2000-1210,0.0,LOW
CVE-2002-1592,0.0,LOW
CVE-2002-0240,0.0,LOW
CVE-2002-0249,0.0,LOW
CVE-2002-0392,0.0,LOW
CVE-2002-0653,7.8,HIGH
CVE-2002-0682,0.0,LOW
CVE-2002-0493,0.0,LOW
CVE-2002-0513,0.0,LOW
CVE-2002-0658,0.0,LOW
CVE-2002-0661,0.0,LOW
CVE-2002-0654,0.0,LOW
CVE-2002-1593,0.0,LOW
CVE-2002-0935,0.0,LOW
CVE-2002-0839,0.0,LOW
CVE-2002-0840,0.0,LOW
CVE-2002-0843,0.0,LOW
CVE-2002-1156,0.0,LOW
CVE-2002-1157,0.0,LOW
CVE-2002-1233,0.0,LOW
CVE-2002-1635,0.0,LOW
CVE-2002-1658,0.0,LOW
CVE-2002-1793,0.0,LOW
CVE-2002-1850,7.5,HIGH
CVE-2002-1895,0.0,LOW
CVE-2002-2006,0.0,LOW
CVE-2002-2007,0.0,LOW
CVE-2002-2008,0.0,LOW
CVE-2002-2009,0.0,LOW
CVE-2002-2012,0.0,LOW
CVE-2002-2029,0.0,LOW
CVE-2002-2103,0.0,LOW
CVE-2002-2272,0.0,LOW
CVE-2002-2309,0.0,LOW
CVE-2002-2310,0.0,LOW
CVE-2002-1394,0.0,LOW
CVE-2003-0016,0.0,LOW
CVE-2003-0017,0.0,LOW
CVE-2003-0020,0.0,LOW
CVE-2003-0083,0.0,LOW
CVE-2003-0132,0.0,LOW
CVE-2003-0134,0.0,LOW
CVE-2003-1054,0.0,LOW
CVE-2003-0189,0.0,LOW
CVE-2003-0245,0.0,LOW
CVE-2003-0192,0.0,LOW
CVE-2003-0253,0.0,LOW
CVE-2003-0254,0.0,LOW
CVE-2003-0460,0.0,LOW
CVE-2003-0771,0.0,LOW
CVE-2002-1567,0.0,LOW
CVE-2003-0658,0.0,LOW
